Game,Winner,Turns,AZPoints,RandomPoints
0,RandomPolicy,68,28,67
1,RandomPolicy,63,15,65
2,RandomPolicy,56,18,77
3,RandomPolicy,53,20,77
4,RandomPolicy,64,42,78
5,RandomPolicy,57,21,76
6,RandomPolicy,48,11,81
7,RandomPolicy,61,16,70
8,RandomPolicy,54,15,74
9,RandomPolicy,57,24,77
