Generation,Winrate
0.0,0.004
1.0,0.006
2.0,0.002
3.0,0.008
4.0,0.002
5.0,0.008
6.0,0.016
7.0,0.01
8.0,0.01
9.0,0.008
10.0,0.004
11.0,0.02
12.0,0.006
13.0,0.016
14.0,0.01
15.0,0.008
